13 1 L 6 P AB20 AA19 1 1
13 1 L 1 P W19 V19 1 1
13 1 L 0 N Y19 Y18 0 1
13 1 L 3 P AB18 AA18 1 1
13 1 CLK 0 N AB16 AB15 0 1
13 1 L 2 N AB17 AA16 0 1
13 1 L 10 P V17 U16 1 1
13 1 L 13 P U21 T21 1 1
13 1 L 14 P T16 R16 1 1
13 1 CLK 1 N Y14 W14 0 1
13 1 L 5 P W15 V15 1 1
13 1 L 18 P U15 T15 1 1
13 1 L 11 P V22 U22 1 1
13 1 L 20 P U18 T18 1 1
13 1 L 12 N W22 W21 0 1
13 1 L 9 P V18 U17 1 1
13 1 L 7 N Y22 Y21 0 1
13 1 L 4 N AB21 AA20 0 1
13 1 L 8 P AB22 AA21 1 1
14 1 L 29 P J22 J21 1 2
14 1 L 26 N H20 J20 0 2
14 1 L 27 N L20 L19 0 2
14 1 L 21 N M22 N22 0 2
14 1 L 24 P K22 K21 1 2
14 1 L 17 N M21 N20 0 2
14 1 L 25 N L21 M20 0 2
14 1 L 16 P P20 P19 1 2
14 1 L 19 N P22 P21 0 2
14 1 L 15 N R22 R21 0 2
14 1 L 33 N F19 G18 0 2
14 1 L 22 N J19 K18 0 2
14 1 L 31 N F20 G20 0 2
14 1 L 23 N K19 L18 0 2
14 1 L 32 P E22 E21 1 2
14 1 L 28 N G22 H22 0 2
14 1 L 30 N F21 G21 0 2
